sid,name,state,pre_avg,post_avg,delta,pre_n_avg,asn_share,asn_pre,asn_post,asn_delta,wht_pre,wht_post,wht_delta,ecd_pre,ecd_post,ecd_delta
4400990,Smithfield,RI,0.6471537035081811,0.4731950770162506,-0.17395862649193056,181.0,0.0,,,,0.715118235867749,0.5216713345603483,-0.19344690130740072,0.15590318390464594,-0.035113067048119194,-0.19101625095276514
3904450,North Canton City,OH,0.6241820673588651,0.45025726149914713,-0.17392480585971792,310.3333333333333,0.0,,,,0.640844157439258,0.511917014412183,-0.1289271430270751,0.2913645586362047,0.02460984311684807,-0.26675471551935664
904620,Trumbull School District,CT,0.8380601755115907,0.664834634432519,-0.17322554107907173,485.77777777777777,0.10838798757335175,1.0610169083401,1.070983279112655,0.009966370772555022,0.8591792658698626,0.7270917758173318,-0.13208749005253084,0.38140014673147904,0.22676234094750095,-0.1546378057839781
635700,Santa Monica-Malibu Unified,CA,0.7525738620591635,0.5794931160050091,-0.17308074605415447,771.8571428571429,0.037621766879408804,1.0864100679330793,1.1100716719396484,0.023661604006569137,1.1176897718410412,0.8063465388915335,-0.3113432329495077,-0.013079427416479968,-0.0063077683011400635,0.0067716591153399045
903840,Rocky Hill School District,CT,0.6129110512093453,0.4405110189575841,-0.1724000322517612,209.11111111111111,0.1423076923076923,0.823711470062642,0.7318230097688542,-0.09188846029378783,0.578975247490243,0.4155772534761955,-0.16339799401404748,0.07809122952801752,-0.2029422775090201,-0.2810335070370376
3904454,North Royalton City,OH,0.6750548736757648,0.50357675812566,-0.17147811555010473,287.55555555555554,0.06544811320754718,1.2394828137664118,0.7237746572092303,-0.5157081565571815,0.6427610968027268,0.5110773473036235,-0.13168374949910322,0.2070027454572553,0.03989668245292798,-0.16710606300432732
4400065,Bristol Warren,RI,0.5282138123546503,0.3598803824290562,-0.16833342992559408,248.66666666666666,0.0,,,,0.5843308079299505,0.3955156015920096,-0.1888152063379409,-0.012586901972291968,-0.10010148469795556,-0.08751458272566359
2505730,Hampden-Wilbraham,MA,0.503723036522961,0.3362864635092051,-0.16743657301375592,210.44444444444446,0.0,,,,0.5504877653736457,0.38275420084752465,-0.1677335645261211,0.08813201654506692,-0.03898939250090087,-0.12712140904596778
1727210,Mount Prospect SD 57,IL,0.517923504440043,0.3516740548462853,-0.1662494495937577,250.22222222222223,0.064,0.5896037956149544,0.8092688707757985,0.2196650751608441,0.5585412616404624,0.4088377277698223,-0.14970353387064006,0.28100079763326125,-0.10782617197070576,-0.388826969603967
5507470,Kimberly Area School District,WI,0.5773294863082343,0.4127956394895846,-0.16453384681864974,366.3333333333333,0.0,,,,0.6232256891675672,0.4685047135402924,-0.15472097562727477,0.06835503207395661,-0.11159088622126286,-0.17994591829521947
2511880,Wachusett,MA,0.6274702259824684,0.46314612534980765,-0.16432410063266073,562.1111111111111,0.008134980415787888,1.0089730840871556,,,0.6321178745823635,0.49285064269769596,-0.1392672318846675,0.23731069859348145,0.05126409404894374,-0.1860466045445377
607530,Carmel Unified,CA,0.7306262577836764,0.5677252303282152,-0.1629010274554612,185.88888888888889,0.0,,,,0.8572812660975516,0.6076920048544562,-0.24958926124309544,0.004569441025494432,0.22845573524300236,0.22388629421750794
