sedaadmin,sedaadminname,subject,grade,year,stateabb,cs_mn_all,tot_asmt_all,cs_mn_asn,tot_asmt_asn,cs_mn_blk,tot_asmt_blk,cs_mn_hsp,tot_asmt_hsp,cs_mn_wht,tot_asmt_wht,cs_mn_ecd,tot_asmt_ecd,cs_mn_nec,tot_asmt_nec
614880,Garden Grove Unified,rla,5,2016,CA,-.0761878311269996,3554,.62707338175222,1256,,,-.5288818765907772,1946,.1573031715520122,304,-.2957307853671093,2521,.4859867238243895,1033
614880,Garden Grove Unified,rla,5,2017,CA,.0705609188584857,3429,.7594201744010575,1205,,,-.3710901605644107,1913,.3252743340975827,262,-.1352538555762538,2422,.5595771589253075,1007
614880,Garden Grove Unified,rla,5,2018,CA,.1027041326479807,3256,.7687967334815087,1202,,,-.3431307869857266,1748,.2982595305930194,231,-.1038652543173759,2351,.6767495083050752,905
614880,Garden Grove Unified,rla,5,2019,CA,.1419640265492125,3167,.8635261540919097,1159,-.2581331276326159,23,-.28198145452498,1689,.2646551675109529,216,-.052115966360422,2230,.6395829004488117,937
614880,Garden Grove Unified,rla,5,2022,CA,.076794665463834,2633,.7966491504241077,825,,,-.3752195238743512,1474,.3406543533744548,181,-.1030470009413258,2008,.6479993482469431,625
614880,Garden Grove Unified,rla,5,2023,CA,.1233460492740361,2706,.7572220668637791,959,,,-.2877959667395424,1446,.2244083364412448,169,-.0406802106835275,2049,.6153410624427078,657
614880,Garden Grove Unified,rla,5,2024,CA,.086089779202527,2718,.6975936130656806,1016,,,-.3522116033856881,1419,.182904755062384,145,-.0570507700271976,2180,.6796949028858353,538
614880,Garden Grove Unified,rla,5,2025,CA,.096174404011107,2655,.6794447734713001,901,,,-.3229861480844018,1453,.439031529215595,151,-.0772965926618739,2056,.6694314642751721,599
622500,Long Beach Unified,rla,3,2009,CA,-.3298911583916661,6443,,,,,,,,,-.5566733356286458,4710,.3284178727627842,1733
622500,Long Beach Unified,rla,3,2010,CA,-.3214072374165342,6249,.1106105045764003,467,-.4726804248002905,922,-.559890643975724,3327,.3444686567643267,977,-.5155787576145726,4552,.2203482807720675,1697
622500,Long Beach Unified,rla,3,2011,CA,-.2328355864688344,6295,.0716826346144207,501,-.4017761309990096,959,-.3974683973018278,3445,.3320718681633416,943,-.4064910061793413,4624,.2744340153317413,1671
622500,Long Beach Unified,rla,3,2012,CA,-.3204747292449128,6148,.0388462721056341,789,-.5049843912223925,890,-.548041225735417,3383,.384905342468018,899,-.531405100391385,4459,.2909447444627598,1689
622500,Long Beach Unified,rla,3,2013,CA,-.3621340369315957,6270,-.0448513548444808,750,-.56831378880809,896,-.5689975284799874,3510,.3523784647240843,906,-.5821955706097631,4411,.1797193401402997,1859
622500,Long Beach Unified,rla,3,2015,CA,-.2312043913589191,5921,.0442816646329156,661,-.5542270373121518,709,-.4096000716223623,3472,.5656763913583805,744,-.4451321785262435,4232,.3747820791428623,1689
622500,Long Beach Unified,rla,3,2016,CA,-.2119719273654922,5848,.1664554345999494,620,-.5177552146937588,767,-.3894939328200647,3376,.52117429817453,703,-.3841623584884201,4208,.2998580830370372,1640
622500,Long Beach Unified,rla,3,2017,CA,-.0096581751210952,5649,.3511804116885217,626,-.3188128502852784,672,-.2063096480632581,3271,.6976246042814902,698,-.2215763943280759,4076,.5689756958625446,1573
622500,Long Beach Unified,rla,3,2018,CA,.0165627503881765,5342,.321168695185462,544,-.3254051337675816,645,-.142565594781707,3155,.7298106481197302,640,-.2054344083012076,3887,.6775565489408572,1455
622500,Long Beach Unified,rla,3,2019,CA,.1133913197987427,5402,.4775633097254792,553,-.219014558367582,678,-.0283621593549885,3221,.7629935691936519,578,-.0867900334027877,3956,.7067446501776998,1446
622500,Long Beach Unified,rla,3,2022,CA,-.1009939130153476,4811,.2969379320111865,329,-.5473457904868666,590,-.2952982231790156,2891,.8060998089162854,532,-.4061303342597607,2676,.303957113718807,2135
