district,subgroup,pre_2017_19,post_2022_25,delta
Lake Washington SD,Black,0.0384,-0.1001,-0.1385
Lake Washington SD,Hispanic,0.1910,0.0237,-0.1674
Lake Washington SD,EconDis,-0.1698,-0.2971,-0.1273
Lake Washington SD,Not-ECD,0.9856,0.9710,-0.0146
Steubenville City,All,0.7455,0.6415,-0.1040
Steubenville City,White,0.8648,0.7078,-0.1571
Steubenville City,Black,0.4808,0.5523,0.0715
Steubenville City,EconDis,0.7423,0.6462,-0.0961
West Baton Rouge,All,-0.1674,-0.0353,0.1321
West Baton Rouge,White,0.0302,0.2724,0.2422
West Baton Rouge,Black,-0.2716,-0.1922,0.0794
West Baton Rouge,EconDis,-0.3243,-0.1552,0.1691
West Baton Rouge,Not-ECD,0.1742,0.4893,0.3151
Marion County,All,0.0791,0.0304,-0.0486
Marion County,White,0.1336,0.1426,0.0090
Marion County,EconDis,-0.0829,-0.2315,-0.1486
Marion County,Not-ECD,0.4190,0.5151,0.0961
Johnson City,All,0.3733,0.4946,0.1213
Johnson City,Asian,1.2124,1.4890,0.2766
Johnson City,White,0.4906,0.6559,0.1653
Johnson City,Black,0.1018,0.0805,-0.0213
Johnson City,Hispanic,-0.0895,-0.0458,0.0437
Johnson City,EconDis,-0.0649,-0.1160,-0.0511
Johnson City,Not-ECD,0.6454,0.7435,0.0980
Atlanta PS,All,-0.2748,-0.3545,-0.0796
Atlanta PS,Asian,0.7396,1.1297,0.3901
Atlanta PS,White,1.0598,1.0544,-0.0054
Atlanta PS,Black,-0.6155,-0.7638,-0.1483
Atlanta PS,Hispanic,-0.3461,-0.3858,-0.0396
Atlanta PS,EconDis,-0.6433,-0.8183,-0.1750
Atlanta PS,Not-ECD,0.9200,0.9033,-0.0167
Baltimore City PS,All,-0.7329,-0.8582,-0.1253
Baltimore City PS,Asian,0.0652,0.0900,0.0249
Baltimore City PS,White,0.0016,0.2852,0.2837
Baltimore City PS,Black,-0.8104,-0.9552,-0.1448
Baltimore City PS,EconDis,-0.9079,-0.9832,-0.0752
Baltimore City PS,Not-ECD,-0.4281,-0.3603,0.0678
Fond du Lac SD,All,-0.0111,-0.1288,-0.1177
Fond du Lac SD,White,0.1789,0.1177,-0.0612
Fond du Lac SD,Black,-0.8649,-0.8053,0.0595
Fond du Lac SD,Hispanic,-0.3059,-0.6080,-0.3021
Fond du Lac SD,EconDis,-0.3892,-0.4447,-0.0555
Fond du Lac SD,Not-ECD,0.3307,0.2573,-0.0735
Seaford SD,All,0.1506,-0.0334,-0.1840
Seaford SD,White,0.4177,0.2428,-0.1749
Seaford SD,Black,-0.0480,-0.1815,-0.1336
Seaford SD,Hispanic,0.0346,-0.2006,-0.2352
Seaford SD,EconDis,-0.0343,-0.1572,-0.1229
Seaford SD,Not-ECD,0.3652,0.0644,-0.3008
Brandywine SD,All,0.0052,-0.2182,-0.2235
Brandywine SD,Asian,0.7364,0.4973,-0.2391
Brandywine SD,White,0.4027,0.2357,-0.1669
Brandywine SD,Black,-0.5219,-0.7118,-0.1899
Brandywine SD,Hispanic,-0.2204,-0.5241,-0.3038
Brandywine SD,EconDis,-0.5347,-0.8168,-0.2821
Brandywine SD,Not-ECD,0.3023,0.0351,-0.2672
Roanoke County PS,All,0.3258,0.1692,-0.1565
Roanoke County PS,Asian,0.5752,0.4775,-0.0977
Roanoke County PS,White,0.3843,0.2531,-0.1312
Roanoke County PS,Black,-0.1090,-0.3842,-0.2751
