sedalea,sedaleaname,subject,grade,year,stateabb,cs_mn_all,tot_asmt_all,cs_mn_asn,tot_asmt_asn,cs_mn_blk,tot_asmt_blk,cs_mn_hsp,tot_asmt_hsp,cs_mn_wht,tot_asmt_wht,cs_mn_ecd,tot_asmt_ecd,cs_mn_nec,tot_asmt_nec
624500,Milpitas Unified,rla,5,2017,CA,.4721306627021022,809,.7494087747782006,554,,,-.3983080279763334,171,,,-.0225878124931912,301,.7518450220948236,508
624500,Milpitas Unified,rla,5,2018,CA,.4592782903045993,745,.8085741469167619,479,,,-.3537291160494992,171,.5723607730032475,37,-.1373475371850691,293,.8168762800001528,452
624500,Milpitas Unified,rla,5,2019,CA,.4203220451119525,715,.6571894228651134,492,,,-.4000337620787829,148,.354239430750758,27,-.1717732889331023,272,.7448596994440149,443
625130,Modesto City Elementary,rla,3,2009,CA,-.6279303723438698,1732,-.5877342749199869,82,-.6245034591016517,76,-.8303280223849461,1131,-.0294020646173836,396,-.7860920393791893,1423,.1472987089807035,309
625130,Modesto City Elementary,rla,3,2010,CA,-.588149269030806,1716,-.3227416474874403,74,-.7127739788586597,77,-.7425721881136782,1178,-.000647872106251,341,-.6960039300636476,1490,.1918635911761868,226
625130,Modesto City Elementary,rla,3,2011,CA,-.546897539835249,1719,-.2315034459203652,88,-.6147715374290491,59,-.6773301713779256,1118,-.1200403481451809,364,-.6590482261664813,1452,.1562651861206069,267
625130,Modesto City Elementary,rla,3,2012,CA,-.6819985754467041,1699,-.5102407412949708,87,-.7001653251156724,57,-.8141822108084403,1150,-.2029421492069388,332,-.7925000287574849,1463,.0663799279242864,236
625130,Modesto City Elementary,rla,3,2013,CA,-.6258004440178742,1713,-.4968573104590662,95,-.8415409209271451,51,-.7467467481768539,1157,-.1724381854910404,313,-.7306468819880657,1460,.0610460809241093,253
625130,Modesto City Elementary,rla,3,2015,CA,-.6344672798167954,1768,,,,,,,,,-.7279852529474976,1544,.2739652826870189,224
625130,Modesto City Elementary,rla,3,2016,CA,-.7068366929051269,1803,,,,,,,,,-.7843773456858671,1585,.0539264473656369,218
625130,Modesto City Elementary,rla,3,2017,CA,-.6368010339356678,1702,-.1867858389956862,87,-.9031189168652789,40,-.735377610063272,1158,-.176574507702854,277,-.7257195948432575,1468,.1693640754585785,234
625130,Modesto City Elementary,rla,3,2018,CA,-.614729914480337,1577,-.1668696981125776,82,-.7782049384763019,34,-.7120625146004174,1100,-.1959957294149147,254,-.7244952258904499,1391,.3129050691612056,186
625130,Modesto City Elementary,rla,3,2019,CA,-.5780097758159597,1710,-.3998694695973301,89,-.6352324170002877,45,-.6857246008841515,1165,-.1214534607661781,264,-.6778083919933804,1492,.2857064446844534,218
625130,Modesto City Elementary,rla,4,2009,CA,-.5626299435936329,1667,-.3906848799349511,74,-.604017859457737,83,-.7587932802232558,1028,-.0775543107839655,432,-.7190385189613946,1373,.2277662685384187,294
625130,Modesto City Elementary,rla,4,2010,CA,-.581552612291903,1660,-.4711797018769846,73,-.7225428076521521,57,-.7709521913572744,1083,-.0282984424560345,380,-.72645138688741,1398,.2777688012759547,262
625130,Modesto City Elementary,rla,4,2011,CA,-.5550266037997671,1675,-.4029563280408537,77,-.7290471052507735,70,-.6686704799535101,1158,-.0899153134358982,306,-.654826226669047,1444,.1531529888413147,231
